ID,Response,RT,Type,characterlist
sub-8,0,3.589298163,affiliation,Newcomb
sub-8,0,8.509666097,affiliation,Anthony
sub-9,0,1.123799385,affiliation,Olivia
sub-9,0,2.209625158,affiliation,Olivia
sub-9,0,1.409232132,affiliation,Olivia
sub-9,0,1.25444517,affiliation,Peter
sub-9,0,1.95314116,affiliation,Peter
sub-9,0,2.069458025,affiliation,Hayworth
sub-9,0,3.172979499,affiliation,Hayworth
sub-9,0,1.200911654,affiliation,Peter
sub-9,0,2.064344735,affiliation,Peter
sub-9,0,2.14159664,affiliation,Anthony
sub-1,0,2.738738374,power,Olivia
sub-1,0,5.352258592,power,Peter
sub-1,0,2.888385701,power,Peter
sub-1,0,3.066253588,power,Peter
sub-1,0,9.20807503,power,Newcomb
sub-1,0,3.37071024,power,Newcomb
sub-1,0,4.53587512,power,Newcomb
sub-1,0,5.405370968,power,Olivia
sub-1,0,7.177161696,power,Peter
sub-1,0,5.475913705,power,Hayworth
sub-1,0,3.185709772,power,Anthony
sub-1,0,4.242004678,power,Hayworth
sub-1,0,2.688864525,power,Hayworth
sub-1,0,11.988,power,Newcomb
sub-1,0,4.203252571,power,Anthony
sub-10,0,5.043494972,power,Olivia
sub-10,0,1.47450772,power,Peter
sub-10,0,2.830264213,power,Peter
sub-10,0,3.789394475,power,Peter
sub-10,0,4.269680532,power,Peter
sub-10,0,4.242985299,power,Newcomb
sub-10,0,1.697519374,power,Newcomb
sub-10,0,2.284259841,power,Olivia
sub-10,0,6.884447363,power,Peter
sub-10,0,5.30739752,power,Hayworth
sub-10,0,2.423673022,power,Anthony
sub-10,0,2.138419154,power,Anthony
sub-10,0,3.228669748,power,Hayworth
sub-10,0,11.988,power,Anthony
sub-11,0,8.824756976,power,Peter
sub-11,0,3.520557234,power,Peter
sub-11,0,2.545021115,power,Newcomb
sub-11,0,5.241824216,power,Peter
sub-11,0,6.810987977,power,Hayworth
sub-11,0,3.064096298,power,Anthony
sub-11,0,5.040634203,power,Anthony
sub-11,0,6.762721373,power,Newcomb
sub-11,0,7.555790046,power,Anthony
sub-12,0,5.229918094,power,Olivia
sub-12,0,2.670874449,power,Peter
sub-12,0,4.466912159,power,Peter
sub-12,0,3.702231644,power,Newcomb
sub-12,0,4.626525422,power,Peter
sub-12,0,4.269887966,power,Hayworth
sub-12,0,3.68145473,power,Anthony
sub-12,0,4.921440399,power,Anthony
sub-13,0,3.949314089,power,Olivia
sub-13,0,1.990015995,power,Peter
sub-13,0,4.83400119,power,Peter
sub-13,0,3.626240508,power,Newcomb
sub-13,0,2.570959288,power,Newcomb
sub-13,0,3.949110276,power,Peter
sub-13,0,3.338895165,power,Hayworth
sub-13,0,6.08339751,power,Anthony
sub-13,0,7.805578476,power,Anthony
sub-13,0,5.32527885,power,Newcomb
sub-13,0,9.117593627,power,Anthony
sub-14,0,3.373449542,power,Olivia
sub-14,0,1.556660658,power,Peter
sub-14,0,2.894413344,power,Peter
sub-14,0,3.010147267,power,Peter
sub-14,0,2.621406477,power,Peter
sub-14,0,1.573443477,power,Newcomb
sub-14,0,3.207460606,power,Peter
sub-14,0,2.786628824,power,Hayworth
sub-14,0,4.583020209,power,Anthony
sub-14,0,4.834843946,power,Newcomb
sub-14,0,4.968370584,power,Anthony
sub-14,0,6.162127777,power,Anthony
sub-14,0,2.836952244,power,Anthony
sub-15,0,3.113588953,power,Olivia
sub-15,0,1.374151955,power,Peter
sub-15,0,5.995387766,power,Peter
sub-15,0,4.642481354,power,Newcomb
sub-15,0,3.749348011,power,Olivia
sub-15,0,4.228982248,power,Peter
sub-15,0,2.874016198,power,Anthony
sub-15,0,5.649178261,power,Hayworth
sub-15,0,3.458769168,power,Hayworth
sub-15,0,9.933930455,power,Anthony
sub-16,0,4.39287558,power,Peter
sub-16,0,11.10253546,power,Peter
sub-16,0,6.66314261,power,Olivia
sub-16,0,8.48944687,power,Peter
sub-16,0,4.42450147,power,Olivia
sub-16,0,4.610184433,power,Hayworth
sub-16,0,2.785564272,power,Anthony
sub-16,0,3.013038729,power,Anthony
sub-16,0,11.988,power,Hayworth
sub-16,0,11.988,power,Newcomb
sub-17,0,3.796789843,power,Peter
sub-17,0,3.927503653,power,Peter
sub-17,0,5.527878274,power,Peter
sub-17,0,3.232975991,power,Peter
sub-17,0,6.784252183,power,Newcomb
sub-17,0,4.002794139,power,Olivia
sub-17,0,5.375957003,power,Peter
sub-17,0,5.1307057,power,Olivia
sub-17,0,4.583824882,power,Anthony
sub-17,0,8.762362056,power,Anthony
sub-17,0,9.208091438,power,Newcomb
sub-17,0,4.847075533,power,Anthony
sub-18,0,1.276687133,power,Peter
sub-18,0,3.777629326,power,Peter
sub-18,0,3.408833979,power,Peter
